Träskända;43 410
Tusby;38 664
Tuusniemi;2 551
Tyrnävä;6 758
Tövsala;1 662
Uleåborg;203 567
Ulvsby;13 021
Urjala;4 792
Utajärvi;2 702
Utsjoki;1 232
Uurainen;3 783
Vaala;2 869
Valkeakoski;21 137
Valtimo;2 143
Vanda;228 166
Varkaus;20 829
Vasa;67 552
Vehmaa;2 285
Vesanto;2 058
Vesilahti;4 393
Vetil;3 166
Vichtis;29 211
Vieremä;3 676
Viitasaari;6 264
Villmanstrand;72 699
Vimpeli;2 901
Virdois;6 739
Virolahti;3 150
Vårdö;448
Vörå;6 613
Ylivieska;15 212
Ylöjärvi;32 983
Ypäjä;2 357
Åbo;191 331
Äänekoski;18 851
Östermark;5 158
Övertorneå;4 022
